License #,DBA Name,Address,City,State,Zip,Latitude,Longitude
0,CHICAGO GETAWAY HOSTEL,616 W ARLINGTON PL ,CHICAGO,IL,60614,41.926825,-87.64470627
1,HARVEST CRUSADES MINISTRIES,118 N CENTRAL AVE ,CHICAGO,IL,60644,41.88284507,-87.76509545
2,COSI,230 W MONROE ST ,CHICAGO,IL,60606,41.88075716,-87.6347093
9,XANDO COFFEE & BAR / COSI SANDWICH BAR,116 S MICHIGAN AVE ,CHICAGO,IL,60603,41.88039584,-87.62450172
40,COSI,233 N MICHIGAN AVE ,CHICAGO,IL,60601,41.88656737,-87.62438467
43,COSI,28 E JACKSON BLVD ,CHICAGO,IL,60604,41.87834161,-87.62667499
62,XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST ,CHICAGO,IL,60606,41.88331786,-87.63476909
85,XANDO COFFEE & BAR / COSI SANDWICH BAR,55 E GRAND AVE ,CHICAGO,IL,60611,41.89159074,-87.62586714
99,XANDO COFFEE & BAR / COSI SANDWICH BAR,203 N LA SALLE ST ,CHICAGO,IL,60601,41.88582205,-87.63230374
104,VITO & NICK'S LOUNGE,8433-8435 S PULASKI RD ,CHICAGO,IL,60652,41.73932941,-87.72143966
115,JOHN SCHALLER,3714 S HALSTED ST ,CHICAGO,IL,60609,41.82718502,-87.64617046
126,"CAL'S 400 LIQUORS, INC.",400 S WELLS ST ,CHICAGO,IL,60607,41.87678483,-87.63383891
139,KILDARE LIQUORS,4300 W LAWRENCE AVE ,CHICAGO,IL,60630,41.96826704,-87.73549835
143,GEORGE BOZIC,1964 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96887204,-87.67871953
146,JEAN SAMOCKI,2032 W ARMITAGE AVE ,CHICAGO,IL,60647,41.91784138,-87.67893683
147,Islands,3854-3856 N ASHLAND AVE ,CHICAGO,IL,60613,41.95225923,-87.66914435
149,FOX'S BEVERLY PUB,9956 S WESTERN AVE ,CHICAGO,IL,60643,41.71201213,-87.68193541
153,JEFFERY PUB,7041 S JEFFERY BLVD ,CHICAGO,IL,60649,41.76681807,-87.57617083
158,BURWOOD TAP,724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,41.92920519,-87.64752249
164,POTASH BROS. SUPERMARKET,1525 N CLARK ST ,CHICAGO,IL,60610,41.91011794,-87.63149089
207,RIVER SHANNON,425 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91819779,-87.63974737
215,KAREGIANES INC,7043 W GRAND AVE ,CHICAGO,IL,60707,41.92343297,-87.80248081
218,LAURIE'S REST & COCKTAIL LOUNG,5153 N BROADWAY ,CHICAGO,IL,60640,41.97616536,-87.65971548
229,69TH ST. CERTIFIED,1906 W 69TH ST ,CHICAGO,IL,60636,41.76857752,-87.67151318
239,OLD TIMERS REST & LOUNGE,75 E LAKE ST ,CHICAGO,IL,60601,41.88562425,-87.6252965
241,HOP HAUS ROGERS PARK,7541-7545 N CLARK ST ,CHICAGO,IL,60626,42.01890351,-87.67595815
244,HAROLD HANSON,2613 W FULLERTON AVE ,CHICAGO,IL,60647,41.92474047,-87.69313235
246,C AND K LIQUOR INC,12034 S MICHIGAN AVE ,CHICAGO,IL,60628,41.67527375,-87.62057528
255,MARIE WUCZYNSKI'S RIPTIDE,1745 W ARMITAGE AVE ,CHICAGO,IL,60622,41.91775523,-87.67198816
257,GEJA'S CAFE,340-344 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91844534,-87.63800743
260,PARK MANOR LOUNGE,7109 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60619,41.76539462,-87.61511045
265,THE CLOSET,3325 N BROADWAY ,CHICAGO,IL,60657,41.94264743,-87.64433254
271,ROMA'S REST,9273 S SOUTH CHICAGO AVE ,CHICAGO,IL,60617,41.72672309,-87.55094326
276,"BUTCH MC GUIRE'S, INC.",20 W DIVISION ST ,CHICAGO,IL,60610,41.90403823,-87.62950232
289,SANDERS LOUNGE,700 W 59TH ST ,CHICAGO,IL,60621,41.7871761,-87.64259902
313,O'NEIL'S BAR & GRILL,152 E ONTARIO ST ,CHICAGO,IL,60611,41.89345959,-87.62337424
316,LINCOLN TAVERN & RESTAURANT,1858 W WABANSIA AVE ,CHICAGO,IL,60622,41.91245647,-87.67501226
319,LITTLE JOE'S CIRCLE LOUNGE INC,1041 W TAYLOR ST ,CHICAGO,IL,60607,41.86937118,-87.65278082
340,ALGIER LOUNGE,5436 W MONTROSE AVE ,CHICAGO,IL,60641,41.96063356,-87.76381678
349,KELLY'S PUB,949 W WEBSTER AVE ,CHICAGO,IL,60614,41.92163662,-87.65300408
353,SKYWAY LANES,9915 S TORRENCE AVE ,CHICAGO,IL,60617,41.71488534,-87.55962172
366,H & L LIQUORS INC.,4709 N DAMEN AVE ,CHICAGO,IL,60625,41.96720264,-87.67899488
368,GOLDIES,3839 N LINCOLN AVE ,CHICAGO,IL,60613,41.95159798,-87.67681051
373,ALBET INVESTMENTS LTD,7463-7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75823401,-87.63117099
376,ALBET INVESTMENTS,7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75818264,-87.63119556
383,MIKES LIQUORS,3135 W MONTROSE AVE ,CHICAGO,IL,60618,41.96108392,-87.70724121
385,"MR BEEF ON HARLEM, LTD",3917 N HARLEM AVE ,CHICAGO,IL,60634,41.95127467,-87.80706638
404,CELTIC CROWN,4301 N WESTERN AVE ,CHICAGO,IL,60618,41.95953928,-87.6884838
407,THE MID DAY CLUB,76 W MONROE ST ,CHICAGO,IL,60603,41.8808097,-87.63058092
410,CAMBRIDGE HOUSE RESTAURANT,167 E OHIO ST ,CHICAGO,IL,60611,41.89244892,-87.62276317
415,VITANGELO'S PIZZA & RESTAURANT,3644 W FULLERTON AVE ,CHICAGO,IL,60647,41.92469108,-87.71882929
429,TONY'S ITALIAN DELI,6708 N NORTHWEST HWY ,CHICAGO,IL,60631,42.00289469,-87.81656422
440,JERUSALEM LIQUORS,3133-3135 W LAWRENCE AVE ,CHICAGO,IL,60625,41.9683547,-87.70739432
473,Kinetic Playground,1113 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96893557,-87.65820072
481,PIZZA LOUNGE,2801 W CHICAGO AVE ,CHICAGO,IL,60622,41.89554371,-87.69676464
488,THE ANGUS,7555 N WESTERN AVE ,CHICAGO,IL,60645,42.0190689,-87.69003206
491,"LA UNICA FOOD MART, INC.",1515 W DEVON AVE ,CHICAGO,IL,60660,41.99799346,-87.66842789
525,MARQ LOUNGE,5065-5067 W MADISON ST ,CHICAGO,IL,60644,41.88029764,-87.75236472
526,DI'S DEN,5100-5104 W IRVING PARK RD ,CHICAGO,IL,60641,41.95343829,-87.75475433
556,RENALDI'S PIZZA,2827 N BROADWAY ,CHICAGO,IL,60657,41.93353571,-87.64454293
574,ZAVEN INC,260 E CHESTNUT ST ,CHICAGO,IL,60611,41.89856447,-87.61947058
600,GIL-TIKIE LOUNGE,9149 S ASHLAND AVE ,CHICAGO,IL,60620,41.72704145,-87.66266832
606,SOUL QUEEN RESTAURANT & LOUNGE,9031 S STONY ISLAND AVE ,CHICAGO,IL,60617,41.73051757,-87.58491993
613,CHINESE HOUSE RESTAURANT,5955 W BELMONT AVE ,CHICAGO,IL,60634,41.9383413,-87.77599556
632,FRANCES COCKTAIL LOUNGE,307 E 75TH ST ,CHICAGO,IL,60619,41.75824795,-87.61796718
633,FRANCES COCKTAIL LOUNGE,307 E 75TH ST ,CHICAGO,IL,60619,41.75824795,-87.61796718
644,MAXIM'S RESTAURANT INC,20 N CLARK ST ,CHICAGO,IL,60602,41.88243401,-87.63103701
653,ZIEMEK CORP.,5368 N MILWAUKEE AVE ,CHICAGO,IL,60630,41.97836393,-87.7703772
663,EL NUEVO GUADALAJARA INC,4350 S ASHLAND AVE ,CHICAGO,IL,60609,41.81437322,-87.66526255
666,THE BAKED TOMATO,4358-4360 N ELSTON AVE ,CHICAGO,IL,60641,41.95995193,-87.72849755
687,TOWN HALL PUB,3340 N HALSTED ST ,CHICAGO,IL,60657,41.943004,-87.64950943
691,FOUR FARTHINGS TAVERN & GRILL,2058-2060 N CLEVELAND AVE ,CHICAGO,IL,60614,41.92001599,-87.6414492
692,DICKENS STREET PUBLIC HOUSE,2058-2060 N CLEVELAND AVE ,CHICAGO,IL,60614,41.92001599,-87.6414492
694,END ZONE TAP,10036 S WESTERN AVE ,CHICAGO,IL,60643,41.71077679,-87.68189948
697,SIXTY SIX O ONE CLUB,6601 S WESTERN AVE ,CHICAGO,IL,60636,41.77369581,-87.6833444
700,ORSO'S RESTAURANT,1401 N WELLS ST ,CHICAGO,IL,60610,41.90774284,-87.63446079
704,NEW RIALTO LOUNGE,8038 S ASHLAND AVE ,CHICAGO,IL,60620,41.747366,-87.66350687
722,MARIA AGUIRRE,2857 S KEDVALE AVE ,CHICAGO,IL,60623,41.83883416,-87.72790458
724,MR T'S,3528 S INDIANA AVE ,CHICAGO,IL,60653,41.83023256,-87.62189182
732,WOODLAWN GARDENS,1200 E 93RD ST ,CHICAGO,IL,60619,41.72595818,-87.5948176
740,CHRIS' BAR,1610 W NORTH AVE ,CHICAGO,IL,60622,41.91073284,-87.66817769
747,GUIDE'S SPORTS CLUB,5544 S ARCHER AVE ,CHICAGO,IL,60638,41.79799279,-87.74829736
753,LINCOLN RESTAURANT,4008-4012 N LINCOLN AVE ,CHICAGO,IL,60618,41.95458102,-87.67921527
760,LAS QUINCE LETRAS,2880 W CERMAK RD ,CHICAGO,IL,60623,41.85196403,-87.69882966
766,MUGS BUNNY,13401 S BALTIMORE AVE ,CHICAGO,IL,60633,41.65176176,-87.54701265
774,ASI ES COLOMBIA INC,3908-3910 N LINCOLN AVE ,CHICAGO,IL,60613,41.95255491,-87.67780467
783,PORRETTA'S RESTAURANT INC,3718 N CENTRAL AVE ,CHICAGO,IL,60634,41.94827472,-87.7669845
788,HILLTOP LIQUORS MART,10259 S MICHIGAN AVE ,CHICAGO,IL,60628,41.70724797,-87.62005636
800,RESI'S BIERSTUBE INC,2034 W IRVING PARK RD ,CHICAGO,IL,60618,41.95424367,-87.68030425
804,"LLOYDS LOUNGE, INC.",6046 S RACINE AVE ,CHICAGO,IL,60636,41.78367274,-87.65475216
822,JOE'S FOOD & LIQUOR,3626 W LAWRENCE AVE ,CHICAGO,IL,60625,41.96844525,-87.71941658
833,STEVE'S LOUNGE,13200 S BALTIMORE AVE ,CHICAGO,IL,60633,41.65541665,-87.54729079
842,LASKO'S,5525 N MILWAUKEE AVE ,CHICAGO,IL,60630,41.98230662,-87.77362028
845,ANDYS 11 EAST LOUNGE,11 E HUBBARD ST ,CHICAGO,IL,60611,41.88996387,-87.62750692
849,PROHIBITION CLUB,5600 N MILWAUKEE AVE ,CHICAGO,IL,60646,41.98287042,-87.77448693
851,DELISI'S PIZZERIA,5806 N WESTERN AVE ,CHICAGO,IL,60659,41.98706947,-87.6897051
853,R J GRUNTS,2054-2056 N LINCOLN PARK WEST ,CHICAGO,IL,60614,41.92003078,-87.63654555
857,TONYS PEKING GARDEN INC,5819 W BELMONT AVE ,CHICAGO,IL,60634,41.93839141,-87.77211895
896,KEN'S LOUNGE & REST,10522 S WESTERN AVE ,CHICAGO,IL,60643,41.70201547,-87.68162963
901,NORMAN'S FOOD & LIQUORS,6647 S HALSTED ST ,CHICAGO,IL,60621,41.77290241,-87.64446133
928,TEASER'S PUB,7123 W HIGGINS AVE ,CHICAGO,IL,60656,41.9807262,-87.80571278
946,J & R COCKTAIL LOUNGE,612 E 79TH ST ,CHICAGO,IL,60619,41.75131909,-87.60952232
951,MITCHELL LOUNGE,2005 W 69TH ST ,CHICAGO,IL,60636,41.76832753,-87.67389581
955,FREDY'S INN,2905 N ELSTON AVE ,CHICAGO,IL,60618,41.93416814,-87.69047826
957,BOB'S LIQUORS & GROCERIES,5069 W MADISON ST ,CHICAGO,IL,60644,41.88029609,-87.7524942
968,CHEZ MOI,2100 N HALSTED ST ,CHICAGO,IL,60614,41.92008219,-87.64872471
971,ATHENS GROCERY,324 S HALSTED ST ,CHICAGO,IL,60661,41.87716213,-87.64736429
980,"7400 S HALSTED FOOD AND LIQUORS, INC.",7400 S HALSTED ST ,CHICAGO,IL,60621,41.75967458,-87.64442024
990,FALCO'S PIZZA,2806 W 40TH PL ,CHICAGO,IL,60632,41.82023097,-87.69487471
994,WILLIAMS INN,5701 S ASHLAND AVE ,CHICAGO,IL,60636,41.79029803,-87.66434168
1011,FITZGERALD'S LIQUORS,8700 S YATES BLVD ,CHICAGO,IL,60617,41.7372186,-87.56617609
1017,MEMBERS ONLY,4518 S MCDOWELL AVE ,CHICAGO,IL,60609,41.81183576,-87.66101297
1019,RED'S NEW GENERATION,6924 S STONY ISLAND AVE ,CHICAGO,IL,60649,41.76896702,-87.58646327
1036,STERCH'S,2238 N LINCOLN AVE ,CHICAGO,IL,60614,41.92269865,-87.64513294
1043,GRAND RIVER,3032 N LINCOLN AVE ,CHICAGO,IL,60657,41.93677981,-87.6648345
1046,B & B GROCERY LIQUOR INC,5337 W MADISON ST ,CHICAGO,IL,60644,41.8802118,-87.75905986
1050,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.",3431 W PETERSON AVE ,CHICAGO,IL,60659,41.99019852,-87.71526237
1052,ONE ELEVEN FOOD & LIQUOR INC,111 N KEDZIE AVE ,CHICAGO,IL,60612,41.88323494,-87.7060367
1058,LATIN AMERICAN REST & LOUNGE,2743 W DIVISION ST ,CHICAGO,IL,60622,41.90282133,-87.6961433
1060,ZIGGY'S SIDE DOOR PUB & DELI,6158 W 63RD ST ,CHICAGO,IL,60638,41.77787867,-87.77632371
1064,MI TIERRA-SOUTH,2528 S KEDZIE AVE ,CHICAGO,IL,60623,41.84545141,-87.70521429
1072,ROMANS INN,6448 N MILWAUKEE AVE ,CHICAGO,IL,60631,41.99840431,-87.78901422
1077,MONK'S PUB,205-207 W LAKE ST ,CHICAGO,IL,60606,41.88561849,-87.63412236
1094,ONE STOP FOOD & LIQUOR STORE,4301-4323 S LAKE PARK AVE ,CHICAGO,IL,60653,41.81686515,-87.59868884
1111,MY PLACE,2212 W TOUHY AVE ,CHICAGO,IL,60645,42.012354,-87.6867325
1129,INTERNATIONAL FOODS NW INC,4404 W FULLERTON AVE ,CHICAGO,IL,60639,41.92447264,-87.7367895
1146,CANTONESIA INC,204 W CERMAK RD ,CHICAGO,IL,60616,41.85295755,-87.63230522
1158,"LAKESHORE RACQUET CLUB, INC.",1320 W FULLERTON AVE ,CHICAGO,IL,60614,41.92535736,-87.66138854
1168,BEEF AND BRANDY RESTAURANT,127 S STATE ST ,CHICAGO,IL,60603,41.87998273,-87.62757519
1179,GARBACZEWSKI CORP,4465 S ARCHER AVE ,CHICAGO,IL,60632,41.81205449,-87.70733017
1184,KOLMAR LOUNGE,4535 W MARQUETTE RD ,CHICAGO,IL,60629,41.7711055,-87.73610595
1187,SADDLE AND CYCLE CLUB,900 W FOSTER AVE ,CHICAGO,IL,60640,41.97654173,-87.65265764
1192,SABATINOS INC,4441-4443 W IRVING PARK RD ,CHICAGO,IL,60641,41.95340286,-87.73960223
1196,HOPSMITH TAVERN,15 W DIVISION ST ,CHICAGO,IL,60610,41.90382088,-87.62932853
1202,CLUB 81 INC,13157 S AVENUE M ,CHICAGO,IL,60633,41.65561555,-87.53732679
1203,CLUB 81 INC,13157 S AVENUE M ,CHICAGO,IL,60633,41.65561555,-87.53732679
1206,GOUDY ELEMENTARY,5120 N WINTHROP AVE ,CHICAGO,IL,60640,41.97581137,-87.65794915
1212,BRUNA'S CAFE,2424 S OAKLEY AVE ,CHICAGO,IL,60608,41.84757384,-87.68321584
1214,FOREMOST LIQUORS,3301 W NORTH AVE ,CHICAGO,IL,60647,41.90997097,-87.70949762
1219,MOODY'S RESTAURANT INC,5908 N BROADWAY ,CHICAGO,IL,60660,41.9893336,-87.66039461
1226,EDDIE'S FOOD & LIQUOR,9807 S COTTAGE GROVE AVE ,CHICAGO,IL,60628,41.71633045,-87.60435027
1237,"ITALIAN VILLAGE RESTAURANT, INC.",71 W MONROE ST ,CHICAGO,IL,60603,41.8805919,-87.63044233
1242,PALM RESTAURANT,323 E WACKER DR ,CHICAGO,IL,60601,41.88755604,-87.61965509
1246,BREHON PUB,731-733 N WELLS ST ,CHICAGO,IL,60610,41.89564749,-87.63402986
1254,DINO'S PIZZA,7004-7006 W HIGGINS AVE ,CHICAGO,IL,60656,41.98026875,-87.80254235
1259,Red Pepper's Lounge,426 E 87TH ST ,CHICAGO,IL,60619,41.73662997,-87.61333322
1261,IRVING PARK LANES,5708 W IRVING PARK RD ,CHICAGO,IL,60634,41.95325038,-87.76982734
1292,ARCH VIEW RESTAURANT,3115 S ARCHER AVE ,CHICAGO,IL,60608,41.83730605,-87.66613305
1298,J. L. LOUNGE,3402 N CICERO AVE ,CHICAGO,IL,60641,41.94257857,-87.74711431
1303,TREASURE ISLAND FOODS INC,75 W ELM ST ,CHICAGO,IL,60610,41.90302614,-87.63134877
1307,TREASURE ISLAND FOODS,1639 N WELLS ST ,CHICAGO,IL,60614,41.9123118,-87.63459886
1311,TREASURE ISLAND FOODS,3460 N BROADWAY ,CHICAGO,IL,60657,41.94482827,-87.64589349
1315,TREASURE ISLAND FOODS,2121 N CLYBOURN AVE ,CHICAGO,IL,60614,41.91989968,-87.66180554
1319,TREASURE ISLAND FOODS,680 N LAKE SHORE DR ,CHICAGO,IL,60611,41.89479837,-87.61586665
1323,JEWEL FOOD STORE #3443,5343 N BROADWAY ,CHICAGO,IL,60640,41.97942825,-87.65980585
1325,JEWEL FOOD STORE #3454,4250 N LINCOLN AVE ,CHICAGO,IL,60618,41.95910043,-87.68239224
1329,JEWEL FOOD STORE #3430,3630 N SOUTHPORT AVE ,CHICAGO,IL,60613,41.94800455,-87.66418623
1333,JEWEL FOOD STORE #3210,1210 N CLARK ST ,CHICAGO,IL,60610,41.90426523,-87.63160329
1337,JEWEL FOOD STORE #3282,4729 N CENTRAL AVE ,CHICAGO,IL,60630,41.96679711,-87.76729948
1356,JEWEL FOOD STORE #3139,3940 E 106TH ST ,CHICAGO,IL,60617,41.7028061,-87.52770401
1362,MONTESSORI OF ENGLEWOOD,6936 S HERMITAGE AVE ,CHICAGO,IL,60636,41.76739834,-87.66767589
1366,JEWEL FOOD STORE #3170,5320 S PULASKI RD ,CHICAGO,IL,60632,41.79619759,-87.72339188
1368,JEWEL FOOD STORE #3181,87 W 87TH ST ,CHICAGO,IL,60620,41.73614513,-87.62691784
1370,JEWEL FOOD STORE #3089,11414 S HALSTED ST ,CHICAGO,IL,60628,41.68641398,-87.64233995
1372,JEWEL FOOD STORE #3477,4734 N CUMBERLAND AVE ,CHICAGO,IL,60656,41.9660114,-87.83683117
1375,JEWEL FOOD STORE #3441,2940 N ASHLAND AVE ,CHICAGO,IL,60657,41.93547203,-87.66865454
1380,JEWEL FOOD STORE #3455,4355 N SHERIDAN RD ,CHICAGO,IL,60613,41.96139778,-87.65459297
1382,JEWEL FOOD STORE #3470,3570 N ELSTON AVE ,CHICAGO,IL,60618,41.9460576,-87.70823011
1385,JEWEL FOOD STORE #3514,3531 N BROADWAY ,CHICAGO,IL,60657,41.94638465,-87.64652486
1387,GROVER CLEVELAND ELEMENTARY SCHOOL,3121 W Byron ,CHICAGO,IL,60618,41.9520147,-87.70642927
1388,JEWEL FOOD STORE #3114,3128 W 103RD ST ,CHICAGO,IL,60655,41.70631284,-87.69976712
1392,JEWEL FOOD STORE #3296,7342 W FOSTER AVE ,CHICAGO,IL,60656,41.97454295,-87.81134688
1394,JEWEL FOOD STORE #3407,5516 N CLARK ST ,CHICAGO,IL,60640,41.98218988,-87.66865163
1398,JEWEL FOOD STORE #3241,1341 N PAULINA ST ,CHICAGO,IL,60622,41.9062437,-87.66986228
1400,JEWEL FOOD STORE #3057,6057 S WESTERN AVE ,CHICAGO,IL,60636,41.78306114,-87.68359887
1402,JEWEL FOOD STORE #3302,3644 S ARCHER AVE ,CHICAGO,IL,60609,41.8275839,-87.68245444
1404,JEWEL FOOD STORE #3176,9400 S ASHLAND AVE ,CHICAGO,IL,60620,41.72294122,-87.66286287
1406,JEWEL FOOD STORE #3442,4042 W FOSTER AVE ,CHICAGO,IL,60630,41.97562411,-87.72984456
1409,JEWEL FOOD STORES #3262,4660 W IRVING PARK RD ,CHICAGO,IL,60641,41.95355444,-87.74505531
1411,JEWEL FOOD STORE #3092,1655 E 95TH ST ,CHICAGO,IL,60617,41.7222632,-87.58291763
1418,IRYS,2922 N MILWAUKEE AVE ,CHICAGO,IL,60618,41.9342233,-87.71608658
1425,KIRKWOOD BAR & GRILL,2934-36 N SHEFFIELD AVE ,CHICAGO,IL,60657,41.93546443,-87.65410203
1429,MR G'S FOOD & LIQUOR,332-334 E 58TH ST ,CHICAGO,IL,60637,41.78942986,-87.61784034
1434,GROUCHO'S BAR & GRILL,8355 S PULASKI RD ,CHICAGO,IL,60652,41.74051514,-87.72147836
1447,J V ENTERPRISES INC,60 W ADAMS ST ,CHICAGO,IL,60603,41.87953523,-87.63002421
1448,J V ENTERPRISES INC,60 W ADAMS ST ,CHICAGO,IL,60603,41.87953523,-87.63002421
1450,St. Ann School,2211 W 18th PL ,CHICAGO,IL,60608,41.8565836,-87.68150295
1462,QUENCHER'S INC,2401-2403 N WESTERN AVE ,CHICAGO,IL,60647,41.924942,-87.6874964
